Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-01-01 00:00:00,1,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,In-store
Foot Locker,1185732,2020-01-02 00:00:00,2,1,2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3,In-store
Foot Locker,1185732,2020-01-03 00:00:00,3,1,2020,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35,In-store
Foot Locker,1185732,2020-01-04 00:00:00,4,1,2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,In-store
Foot Locker,1185732,2020-01-05 00:00:00,5,1,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,In-store
Foot Locker,1185732,2020-01-06 00:00:00,6,1,2020,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,In-store
Foot Locker,1185732,2020-01-07 00:00:00,7,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5,In-store
West Gear,1128299,2020-02-09 00:00:00,9,2,2020,West,Nevada,Las Vegas,Women's Street Footwear,65.0,550,357500.0,143000.0,0.4,In-store
West Gear,1128299,2020-02-10 00:00:00,10,2,2020,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,450,270000.0,94500.0,0.35,In-store
West Gear,1128299,2020-02-11 00:00:00,11,2,2020,West,Nevada,Las Vegas,Men's Apparel,65.0,500,325000.0,178750.0,0.55,In-store
West Gear,1128299,2020-02-12 00:00:00,12,2,2020,West,Nevada,Las Vegas,Women's Apparel,80.0,500,400000.0,80000.0,0.2,In-store
West Gear,1128299,2020-02-13 00:00:00,13,2,2020,West,Nevada,Las Vegas,Men's Street Footwear,65.0,700,455000.0,182000.0,0.4,In-store
West Gear,1128299,2020-02-14 00:00:00,14,2,2020,West,Nevada,Las Vegas,Men's Athletic Footwear,70.0,650,455000.0,113750.0,0.25,In-store
West Gear,1128299,2020-02-15 00:00:00,15,2,2020,West,Nevada,Las Vegas,Women's Street Footwear,65.0,525,341250.0,136500.0,0.4,In-store
West Gear,1128299,2020-02-16 00:00:00,16,2,2020,West,Nevada,Las Vegas,Women's Athletic Footwear,65.0,475,308750.0,108062.5,0.35,In-store
West Gear,1128299,2020-02-17 00:00:00,17,2,2020,West,Nevada,Las Vegas,Men's Apparel,75.0,475,356250.0,195937.50000000003,0.55,In-store
West Gear,1128299,2020-02-18 00:00:00,18,2,2020,West,Nevada,Las Vegas,Women's Apparel,80.0,400,320000.0,64000.0,0.2,In-store
West Gear,1128299,2020-02-19 00:00:00,19,2,2020,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,600,360000.00000000006,126000.00000000004,0.35,In-store
West Gear,1128299,2020-02-20 00:00:00,20,2,2020,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00000000000001,600,390000.00000000006,78000.00000000001,0.2,In-store
West Gear,1128299,2020-02-21 00:00:00,21,2,2020,West,Nevada,Las Vegas,Women's Street Footwear,60.00000000000001,450,270000.00000000006,94500.00000000004,0.35,In-store
West Gear,1128299,2020-02-22 00:00:00,22,2,2020,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00000000000001,400,240000.00000000003,72000.0,0.3,In-store
West Gear,1128299,2020-02-23 00:00:00,23,2,2020,West,Nevada,Las Vegas,Men's Apparel,70.0,400,280000.0,140000.00000000003,0.5000000000000001,In-store
West Gear,1128299,2020-02-24 00:00:00,24,2,2020,West,Nevada,Las Vegas,Women's Apparel,75.00000000000001,450,337500.00000000006,50625.000000000015,0.15,In-store
West Gear,1128299,2020-02-25 00:00:00,25,2,2020,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,550,330000.00000000006,115500.00000000004,0.35,In-store
