Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Foot Locker,1185732,2021-06-04 00:00:00,4,6,2021,Midwest,Illinois,Chicago,Men's Apparel,54.99999999999999,175,96250.0,33687.49999999999,0.35
Foot Locker,1185732,2021-06-05 00:00:00,5,6,2021,Midwest,Illinois,Chicago,Women's Apparel,45.0,275,123750.0,61875.0,0.5
Foot Locker,1185732,2021-06-06 00:00:00,6,6,2021,Midwest,Illinois,Chicago,Men's Street Footwear,45.0,525,236250.0,94500.0,0.4
Foot Locker,1185732,2021-06-07 00:00:00,7,6,2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,45.0,175,78750.0,27562.5,0.35
Foot Locker,1185732,2021-06-08 00:00:00,8,6,2021,Midwest,Illinois,Chicago,Women's Street Footwear,35.0,225,78750.0,27562.5,0.35
Foot Locker,1185732,2021-06-09 00:00:00,9,6,2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,40.0,100,40000.0,16000.0,0.4
Foot Locker,1185732,2021-06-10 00:00:00,10,6,2021,Midwest,Illinois,Chicago,Men's Apparel,54.99999999999999,175,96250.0,33687.49999999999,0.35
Foot Locker,1185732,2021-06-11 00:00:00,11,6,2021,Midwest,Illinois,Chicago,Women's Apparel,45.0,275,123750.0,61875.0,0.5
Foot Locker,1185732,2021-06-12 00:00:00,12,6,2021,Midwest,Illinois,Chicago,Men's Street Footwear,50.0,495,247500.0,99000.0,0.4
Foot Locker,1185732,2021-06-13 00:00:00,13,6,2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,50.0,200,100000.0,35000.0,0.35
Foot Locker,1185732,2021-06-14 00:00:00,14,6,2021,Midwest,Illinois,Chicago,Women's Street Footwear,40.0,225,90000.0,31500.0,0.35
Foot Locker,1185732,2021-06-15 00:00:00,15,6,2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,45.0,75,33750.0,13500.0,0.4
Foot Locker,1185732,2021-06-16 00:00:00,16,6,2021,Midwest,Illinois,Chicago,Men's Apparel,60.0,125,75000.0,26250.0,0.35
Foot Locker,1185732,2021-06-17 00:00:00,17,6,2021,Midwest,Illinois,Chicago,Women's Apparel,50.0,225,112500.0,56250.0,0.5
Foot Locker,1185732,2021-06-18 00:00:00,18,6,2021,Midwest,Illinois,Chicago,Men's Street Footwear,50.0,450,225000.0,90000.0,0.4
Foot Locker,1185732,2021-06-19 00:00:00,19,6,2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,50.0,150,75000.0,26250.0,0.35
Foot Locker,1185732,2021-06-20 00:00:00,20,6,2021,Midwest,Illinois,Chicago,Women's Street Footwear,40.0,150,60000.0,21000.0,0.35
Foot Locker,1185732,2021-06-21 00:00:00,21,6,2021,Midwest,Illinois,Chicago,Women's Athletic Footwear,45.0,75,33750.0,13500.0,0.4
Foot Locker,1185732,2021-06-22 00:00:00,22,6,2021,Midwest,Illinois,Chicago,Men's Apparel,60.0,100,60000.0,21000.0,0.35
