Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Foot Locker,1185732,2020-01-01 00:00:00,1,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5
Foot Locker,1185732,2020-01-02 00:00:00,2,1,2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3
Foot Locker,1185732,2020-01-03 00:00:00,3,1,2020,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35
Foot Locker,1185732,2020-01-04 00:00:00,4,1,2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35
Foot Locker,1185732,2020-01-05 00:00:00,5,1,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3
Foot Locker,1185732,2020-01-06 00:00:00,6,1,2020,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25
Foot Locker,1185732,2020-01-07 00:00:00,7,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5
Foot Locker,1185732,2020-01-08 00:00:00,8,1,2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3
Foot Locker,1185732,2020-01-21 00:00:00,21,1,2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35
Foot Locker,1185732,2020-01-22 00:00:00,22,1,2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.5,0.35
Foot Locker,1185732,2020-01-23 00:00:00,23,1,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3
Foot Locker,1185732,2020-01-24 00:00:00,24,1,2020,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25
Foot Locker,1185732,2020-01-25 00:00:00,25,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000.0,305000.0,0.5
Foot Locker,1185732,2020-01-26 00:00:00,26,1,2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500.0,138750.0,0.3
Foot Locker,1185732,2020-01-27 00:00:00,27,1,2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35
Foot Locker,1185732,2020-01-28 00:00:00,28,1,2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000.0,126000.0,0.35
Foot Locker,1185732,2020-01-29 00:00:00,29,1,2020,Northeast,New York,New York,Men's Apparel,60.0,850,510000.0,153000.0,0.3
Foot Locker,1185732,2020-01-30 00:00:00,30,1,2020,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25
Foot Locker,1185732,2020-01-31 00:00:00,31,1,2020,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5
Foot Locker,1185732,2020-02-01 00:00:00,1,2,2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3
Foot Locker,1185732,2020-02-02 00:00:00,2,2,2020,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000.0,126000.0,0.35
Foot Locker,1185732,2020-02-03 00:00:00,3,2,2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.5,0.35
Foot Locker,1185732,2020-02-04 00:00:00,4,2,2020,Northeast,New York,New York,Men's Apparel,60.0,825,495000.0,148500.0,0.3
Foot Locker,1185732,2020-02-05 00:00:00,5,2,2020,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25
Foot Locker,1185732,2020-02-06 00:00:00,6,2,2020,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000.0,366000.0,0.5
Foot Locker,1185732,2020-02-07 00:00:00,7,2,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,508750.00000000006,152625.0,0.3
Foot Locker,1185732,2020-02-08 00:00:00,8,2,2020,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35
Foot Locker,1185732,2020-02-09 00:00:00,9,2,2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000.0,148750.0,0.35
Foot Locker,1185732,2020-02-10 00:00:00,10,2,2020,Northeast,New York,New York,Men's Apparel,60.0,875,525000.0,157500.0,0.3
Foot Locker,1185732,2020-03-03 00:00:00,3,3,2020,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25
Foot Locker,1185732,2020-03-04 00:00:00,4,3,2020,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5
Foot Locker,1185732,2020-03-05 00:00:00,5,3,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3
Foot Locker,1185732,2020-03-06 00:00:00,6,3,2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35
Foot Locker,1185732,2020-03-07 00:00:00,7,3,2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35
Foot Locker,1185732,2020-03-08 00:00:00,8,3,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3
Foot Locker,1185732,2020-03-09 00:00:00,9,3,2020,Northeast,New York,New York,Women's Apparel,65.0,1050,682500.0,170625.0,0.25
Foot Locker,1185732,2020-03-10 00:00:00,10,3,2020,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000.0,382500.0,0.5
Foot Locker,1185732,2020-03-11 00:00:00,11,3,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3
Foot Locker,1185732,2020-03-12 00:00:00,12,3,2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35
Foot Locker,1185732,2020-03-13 00:00:00,13,3,2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35
Foot Locker,1185732,2020-03-14 00:00:00,14,3,2020,Northeast,New York,New York,Men's Apparel,60.0,925,555000.0,166500.0,0.3
Foot Locker,1185732,2020-03-15 00:00:00,15,3,2020,Northeast,New York,New York,Women's Apparel,65.0,1100,715000.0,178750.0,0.25
Foot Locker,1185732,2020-03-16 00:00:00,16,3,2020,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5
Foot Locker,1185732,2020-03-17 00:00:00,17,3,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3
Foot Locker,1185732,2020-03-18 00:00:00,18,3,2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35
Foot Locker,1185732,2020-03-31 00:00:00,31,3,2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500.0,161875.0,0.35
Walmart,1185732,2020-04-17 00:00:00,17,4,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3
Walmart,1185732,2020-04-18 00:00:00,18,4,2020,Northeast,New York,New York,Women's Apparel,65.0,1075,698750.0,174687.5,0.25
Walmart,1185732,2020-04-19 00:00:00,19,4,2020,Northeast,New York,New York,Men's Street Footwear,60.0,1200,720000.0,360000.0,0.5
Walmart,1185732,2020-04-20 00:00:00,20,4,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3
Walmart,1185732,2020-04-21 00:00:00,21,4,2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35
Walmart,1185732,2020-04-22 00:00:00,22,4,2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35
Walmart,1185732,2020-04-23 00:00:00,23,4,2020,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3
Walmart,1185732,2020-04-24 00:00:00,24,4,2020,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25
Walmart,1185732,2020-04-25 00:00:00,25,4,2020,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3
Walmart,1185732,2020-04-26 00:00:00,26,4,2020,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25
Walmart,1185732,2020-04-27 00:00:00,27,4,2020,Northeast,New York,New York,Men's Street Footwear,65.0,1150,747500.0,373750.0,0.5
Walmart,1185732,2020-04-28 00:00:00,28,4,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975,536250.0000000001,160875.00000000003,0.3
Walmart,1185732,2020-04-29 00:00:00,29,4,2020,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920,506000.00000000006,177100.0,0.35
Walmart,1185732,2020-04-30 00:00:00,30,4,2020,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250.0,0.35
Walmart,1185732,2020-05-01 00:00:00,1,5,2020,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3
Walmart,1185732,2020-05-02 00:00:00,2,5,2020,Northeast,New York,New York,Women's Apparel,70.0,975,682500.0,170625.0,0.25
Walmart,1185732,2020-05-03 00:00:00,3,5,2020,Northeast,New York,New York,Men's Street Footwear,65.0,1200,780000.0,390000.0,0.5
Walmart,1185732,2020-05-04 00:00:00,4,5,2020,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3
Walmart,1185732,2020-05-05 00:00:00,5,5,2020,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950,522500.00000000006,182875.0,0.35
Walmart,1185732,2020-05-06 00:00:00,6,5,2020,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250.0,0.35
Walmart,1185732,2020-05-07 00:00:00,7,5,2020,Northeast,New York,New York,Men's Apparel,65.0,900,585000.0,175500.0,0.3
Walmart,1185732,2020-07-18 00:00:00,18,7,2020,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25
Sports Direct,1197831,2020-07-19 00:00:00,19,7,2020,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000.0,78750.0,0.35
Sports Direct,1197831,2020-07-20 00:00:00,20,7,2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000.0,110250.0,0.35
Sports Direct,1197831,2020-07-21 00:00:00,21,7,2020,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35
Sports Direct,1197831,2020-07-22 00:00:00,22,7,2020,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000.0,110250.0,0.45
Foot Locker,1185732,2021-10-26 00:00:00,26,10,2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,54.99999999999999,125,68749.99999999999,24062.5,0.35
Foot Locker,1185732,2021-10-27 00:00:00,27,10,2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45.0,225,101250.0,30375.0,0.3
Foot Locker,1185732,2021-10-28 00:00:00,28,10,2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,45.0,475,213750.0,117562.5,0.55
Foot Locker,1185732,2021-10-29 00:00:00,29,10,2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45.0,125,56250.0,19687.5,0.35
Foot Locker,1185732,2021-10-30 00:00:00,30,10,2021,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,35.0,175,61250.0,24500.0,0.3999999999999999
Foot Locker,1185732,2021-10-31 00:00:00,31,10,2021,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40.0,50,20000.0,7999.999999999999,0.3999999999999999
Foot Locker,1185732,2021-11-01 00:00:00,1,11,2021,Northeast,Pennsylvania,Philadelphia,Men's Apparel,54.99999999999999,125,68749.99999999999,24062.5,0.35
