Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2020-07-23 00:00:00,23,7,2020,South,Texas,Houston,Men's Apparel,40.0,550,220000.0,66000.0,0.3,Outlet
Sports Direct,1197831,2020-07-24 00:00:00,24,7,2020,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,1197831,2020-07-25 00:00:00,25,7,2020,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet
Sports Direct,1197831,2020-07-26 00:00:00,26,7,2020,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500.0,104125.0,0.35,Outlet
Sports Direct,1197831,2020-07-27 00:00:00,27,7,2020,South,Texas,Houston,Women's Street Footwear,35.0,675,236250.0,82687.5,0.35,Outlet
Sports Direct,1197831,2020-07-28 00:00:00,28,7,2020,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750.0,98437.5,0.45,Outlet
Sports Direct,1197831,2020-07-29 00:00:00,29,7,2020,South,Texas,Houston,Men's Apparel,40.0,500,200000.0,60000.0,0.3,Outlet
Sports Direct,1197831,2020-07-30 00:00:00,30,7,2020,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,1197831,2020-07-31 00:00:00,31,7,2020,South,Texas,Houston,Men's Street Footwear,30.0,875,262500.0,91875.0,0.35,Outlet
Sports Direct,1197831,2020-08-01 00:00:00,1,8,2020,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000.0,122500.0,0.35,Outlet
Sports Direct,1197831,2020-08-02 00:00:00,2,8,2020,South,Texas,Houston,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
Sports Direct,1197831,2020-08-03 00:00:00,3,8,2020,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000.0,108000.0,0.45,Outlet
Sports Direct,1197831,2020-08-04 00:00:00,4,8,2020,South,Texas,Houston,Men's Apparel,45.0,500,225000.0,67500.0,0.3,Outlet
Sports Direct,1197831,2020-08-05 00:00:00,5,8,2020,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet
Sports Direct,1197831,2020-08-06 00:00:00,6,8,2020,South,Texas,Houston,Men's Street Footwear,30.0,900,270000.0,94500.0,0.35,Outlet
