Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Foot Locker,1185732,2020-08-10 00:00:00,10,8,2020,Southeast,Florida,Miami,Men's Apparel,55.00000000000001,750,412500.00000000006,144375.0,0.35
Foot Locker,1185732,2020-08-11 00:00:00,11,8,2020,Southeast,Florida,Miami,Women's Apparel,45.0,850,382500.0,191250.0,0.5
Foot Locker,1185732,2020-08-12 00:00:00,12,8,2020,Southeast,Florida,Miami,Men's Street Footwear,45.0,1100,495000.0,222750.0,0.45
Foot Locker,1185732,2020-08-13 00:00:00,13,8,2020,Southeast,Florida,Miami,Men's Athletic Footwear,45.0,750,337500.0,118125.0,0.35
Foot Locker,1185732,2020-08-14 00:00:00,14,8,2020,Southeast,Florida,Miami,Women's Street Footwear,35.0,800,280000.0,70000.0,0.25
West Gear,1185732,2020-08-15 00:00:00,15,8,2020,Southeast,Florida,Miami,Women's Athletic Footwear,40.0,675,270000.0,81000.0,0.3
Foot Locker,1185732,2020-08-16 00:00:00,16,8,2020,Southeast,Florida,Miami,Men's Apparel,55.00000000000001,750,412500.00000000006,144375.0,0.35
Foot Locker,1185732,2020-08-17 00:00:00,17,8,2020,Southeast,Florida,Miami,Women's Apparel,45.0,850,382500.0,191250.0,0.5
Foot Locker,1185732,2020-08-18 00:00:00,18,8,2020,Southeast,Florida,Miami,Men's Street Footwear,45.0,1070,481500.0,216675.0,0.45
Foot Locker,1185732,2020-08-19 00:00:00,19,8,2020,Southeast,Florida,Miami,Men's Athletic Footwear,45.0,750,337500.0,118125.0,0.35
Foot Locker,1185732,2020-08-20 00:00:00,20,8,2020,Southeast,Florida,Miami,Women's Street Footwear,35.0,775,271250.0,67812.5,0.25
Foot Locker,1185732,2020-08-21 00:00:00,21,8,2020,Southeast,Florida,Miami,Women's Athletic Footwear,40.0,625,250000.0,75000.0,0.3
Foot Locker,1185732,2020-08-22 00:00:00,22,8,2020,Southeast,Florida,Miami,Men's Apparel,55.00000000000001,675,371250.00000000006,129937.5,0.35
Foot Locker,1185732,2020-08-23 00:00:00,23,8,2020,Southeast,Florida,Miami,Women's Apparel,45.0,775,348750.0,174375.0,0.5
Foot Locker,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Street Footwear,45.0,1025,461250.0,207562.5,0.45
Foot Locker,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Athletic Footwear,45.0,725,326250.0,114187.5,0.35
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Street Footwear,35.0,725,253750.0,63437.5,0.25
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Athletic Footwear,40.0,650,260000.0,78000.0,0.3
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Apparel,55.00000000000001,675,371250.00000000006,129937.5,0.35
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Apparel,45.0,800,360000.0,180000.0,0.5
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Street Footwear,55.00000000000001,1070,588500.0000000001,264825.00000000006,0.45
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Athletic Footwear,55.00000000000001,775,426250.00000000006,149187.5,0.35
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Street Footwear,50.0,750,375000.0,93750.0,0.25
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Athletic Footwear,50.0,700,350000.0,105000.0,0.3
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Apparel,60.0,725,435000.0,152250.0,0.35
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Women's Apparel,65.0,825,536250.0,268125.0,0.5
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Street Footwear,60.0,1075,645000.0,290250.0,0.45
West Gear,1185732,2020-04-24 00:00:00,24,4,2020,Southeast,Florida,Miami,Men's Athletic Footwear,55.00000000000001,825,453750.00000000006,158812.5,0.35
West Gear,1185732,2020-09-07 00:00:00,7,9,2020,Southeast,Florida,Miami,Women's Street Footwear,50.0,800,400000.0,100000.0,0.25
West Gear,1185732,2020-09-08 00:00:00,8,9,2020,Southeast,Florida,Miami,Women's Athletic Footwear,50.0,775,387500.0,116250.0,0.3
West Gear,1185732,2020-09-09 00:00:00,9,9,2020,Southeast,Florida,Miami,Men's Apparel,65.0,775,503750.0,176312.5,0.35
West Gear,1185732,2020-09-10 00:00:00,10,9,2020,Southeast,Florida,Miami,Women's Apparel,70.0,925,647500.0,323750.0,0.5
West Gear,1185732,2020-09-11 00:00:00,11,9,2020,Southeast,Florida,Miami,Men's Street Footwear,65.0,1150,747500.0,336375.0,0.45
West Gear,1185732,2020-09-12 00:00:00,12,9,2020,Southeast,Florida,Miami,Men's Athletic Footwear,60.00000000000001,900,540000.0000000001,189000.00000000003,0.35
West Gear,1185732,2020-09-13 00:00:00,13,9,2020,Southeast,Florida,Miami,Women's Street Footwear,55.00000000000001,825,453750.00000000006,113437.5,0.25
West Gear,1185732,2020-09-14 00:00:00,14,9,2020,Southeast,Florida,Miami,Women's Athletic Footwear,55.00000000000001,775,426250.00000000006,127875.0,0.3
West Gear,1185732,2020-09-15 00:00:00,15,9,2020,Southeast,Florida,Miami,Men's Apparel,65.0,800,520000.0,182000.0,0.35
West Gear,1185732,2020-09-16 00:00:00,16,9,2020,Southeast,Florida,Miami,Women's Apparel,70.0,975,682500.0,341250.0,0.5
West Gear,1185732,2020-09-17 00:00:00,17,9,2020,Southeast,Florida,Miami,Men's Street Footwear,65.0,1125,731250.0,329062.5,0.45
West Gear,1185732,2020-09-18 00:00:00,18,9,2020,Southeast,Florida,Miami,Men's Athletic Footwear,60.00000000000001,900,540000.0000000001,189000.00000000003,0.35
West Gear,1185732,2020-09-19 00:00:00,19,9,2020,Southeast,Florida,Miami,Women's Street Footwear,55.00000000000001,825,453750.00000000006,113437.5,0.25
Foot Locker,1185732,2020-09-20 00:00:00,20,9,2020,Southeast,Florida,Miami,Women's Athletic Footwear,45.0,775,348750.0,104625.0,0.3
Foot Locker,1185732,2020-09-21 00:00:00,21,9,2020,Southeast,Florida,Miami,Men's Apparel,55.00000000000001,750,412500.00000000006,144375.0,0.35
Foot Locker,1185732,2020-09-22 00:00:00,22,9,2020,Southeast,Florida,Miami,Women's Apparel,60.00000000000001,925,555000.0000000001,277500.00000000006,0.5
Foot Locker,1185732,2020-09-23 00:00:00,23,9,2020,Southeast,Florida,Miami,Men's Street Footwear,55.00000000000001,1050,577500.0000000001,259875.0000000001,0.45
Foot Locker,1185732,2020-09-24 00:00:00,24,9,2020,Southeast,Florida,Miami,Men's Athletic Footwear,50.000000000000014,850,425000.0000000001,148750.00000000003,0.35
Sports Direct,1185732,2020-09-25 00:00:00,25,9,2020,Southeast,Florida,Miami,Women's Street Footwear,45.0,750,337500.0,84375.0,0.25
