Retailer,Retailer ID,Invoice Date,Day,Month,Year,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,2020-11-05 00:00:00,5,11,2020,West,California,San Francisco,Men's Apparel,55.00000000000001,575,316250.00000000006,158125.00000000003,0.5,Outlet
West Gear,1128299,2020-11-06 00:00:00,6,11,2020,West,California,San Francisco,Women's Apparel,50.0,775,387500.0,58125.00000000001,0.15,Outlet
West Gear,1128299,2020-11-07 00:00:00,7,11,2020,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.0,0.35,Outlet
West Gear,1128299,2020-11-08 00:00:00,8,11,2020,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500.0,72500.0,0.2,Outlet
West Gear,1128299,2020-11-09 00:00:00,9,11,2020,West,California,San Francisco,Women's Street Footwear,50.0,725,362500.0,126875.0,0.35,Outlet
West Gear,1128299,2020-11-10 00:00:00,10,11,2020,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500.0,86250.0,0.3,Outlet
West Gear,1128299,2020-11-11 00:00:00,11,11,2020,West,California,San Francisco,Men's Apparel,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet
West Gear,1128299,2020-11-12 00:00:00,12,11,2020,West,California,San Francisco,Women's Apparel,50.0,700,350000.0,52500.00000000001,0.15,Outlet
West Gear,1128299,2020-11-13 00:00:00,13,11,2020,West,California,San Francisco,Men's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
West Gear,1128299,2020-11-14 00:00:00,14,11,2020,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000.0,84000.0,0.2,Outlet
West Gear,1128299,2020-11-15 00:00:00,15,11,2020,West,California,San Francisco,Women's Street Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
West Gear,1128299,2020-12-22 00:00:00,22,12,2020,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000.0,108000.0,0.3,Outlet
West Gear,1128299,2020-12-23 00:00:00,23,12,2020,West,California,San Francisco,Men's Apparel,65.0,500,325000.0,162500.0,0.5,Outlet
West Gear,1128299,2020-12-24 00:00:00,24,12,2020,West,California,San Francisco,Women's Apparel,60.0,700,420000.0,63000.00000000001,0.15,Outlet
West Gear,1128299,2020-12-25 00:00:00,25,12,2020,West,California,San Francisco,Men's Street Footwear,60.0,875,525000.0,183750.00000000003,0.35,Outlet
West Gear,1128299,2020-12-26 00:00:00,26,12,2020,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750.0,87750.0,0.2,Outlet
West Gear,1128299,2020-12-27 00:00:00,27,12,2020,West,California,San Francisco,Women's Street Footwear,65.0,725,471250.0,164937.50000000003,0.35,Outlet
West Gear,1128299,2020-12-28 00:00:00,28,12,2020,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000.0,112500.0,0.3,Outlet
West Gear,1128299,2020-12-29 00:00:00,29,12,2020,West,California,San Francisco,Men's Apparel,65.0,525,341250.0,170625.0,0.5,Outlet
West Gear,1128299,2020-12-30 00:00:00,30,12,2020,West,California,San Francisco,Women's Apparel,80.0,700,560000.0,84000.00000000001,0.15,Outlet
West Gear,1128299,2020-12-31 00:00:00,31,12,2020,West,California,San Francisco,Men's Street Footwear,60.0,900,540000.0,216000.0,0.4,Outlet
West Gear,1128299,2021-01-01 00:00:00,1,1,2021,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500.0,121875.0,0.25,Outlet
West Gear,1128299,2021-01-02 00:00:00,2,1,2021,West,California,San Francisco,Women's Street Footwear,65.0,750,487500.0,195000.0,0.4,Outlet
West Gear,1128299,2021-01-03 00:00:00,3,1,2021,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000.0,136500.0,0.35,Outlet
West Gear,1128299,2021-01-04 00:00:00,4,1,2021,West,California,San Francisco,Men's Apparel,65.0,550,357500.0,196625.00000000003,0.55,Outlet
West Gear,1128299,2021-01-05 00:00:00,5,1,2021,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,116000.0,0.2,Outlet
West Gear,1128299,2021-01-06 00:00:00,6,1,2021,West,California,San Francisco,Men's Street Footwear,60.0,975,585000.0,234000.0,0.4,Outlet
West Gear,1128299,2021-01-07 00:00:00,7,1,2021,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250.0,134062.5,0.25,Outlet
West Gear,1128299,2021-01-08 00:00:00,8,1,2021,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,214500.0,0.4,Outlet
West Gear,1128299,2021-01-09 00:00:00,9,1,2021,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
West Gear,1128299,2021-01-10 00:00:00,10,1,2021,West,California,San Francisco,Men's Apparel,65.0,575,373750.0,205562.50000000003,0.55,Outlet
West Gear,1128299,2021-01-11 00:00:00,11,1,2021,West,California,San Francisco,Women's Apparel,80.0,875,700000.0,140000.0,0.2,Outlet
West Gear,1128299,2021-01-12 00:00:00,12,1,2021,West,California,San Francisco,Men's Street Footwear,60.0,1025,615000.0,215250.00000000003,0.35,Outlet
West Gear,1128299,2021-01-13 00:00:00,13,1,2021,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750.0,113750.0,0.2,Outlet
West Gear,1128299,2021-01-14 00:00:00,14,1,2021,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,187687.50000000003,0.35,Outlet
West Gear,1128299,2021-01-15 00:00:00,15,1,2021,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000.0,130500.0,0.3,Outlet
West Gear,1128299,2021-01-16 00:00:00,16,1,2021,West,California,San Francisco,Men's Apparel,65.0,775,503750.0,251875.0,0.5,Outlet
West Gear,1128299,2021-01-17 00:00:00,17,1,2021,West,California,San Francisco,Women's Apparel,80.0,775,620000.0,93000.0,0.15,Outlet
West Gear,1128299,2021-01-18 00:00:00,18,1,2021,West,California,San Francisco,Men's Street Footwear,65.0,975,633750.0,221812.50000000003,0.35,Outlet
West Gear,1128299,2021-01-19 00:00:00,19,1,2021,West,California,San Francisco,Men's Athletic Footwear,70.0,925,647500.0,129500.0,0.2,Outlet
West Gear,1128299,2021-01-20 00:00:00,20,1,2021,West,California,San Francisco,Women's Street Footwear,65.0,800,520000.0,182000.00000000003,0.35,Outlet
West Gear,1128299,2021-01-21 00:00:00,21,1,2021,West,California,San Francisco,Women's Athletic Footwear,65.0,750,487500.0,146250.0,0.3,Outlet
West Gear,1128299,2021-01-22 00:00:00,22,1,2021,West,California,San Francisco,Men's Apparel,75.0,750,562500.0,281250.0,0.5,Outlet
West Gear,1128299,2021-01-23 00:00:00,23,1,2021,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,87000.00000000001,0.15,Outlet
West Gear,1128299,2021-01-24 00:00:00,24,1,2021,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,508750.00000000006,152625.00000000003,0.3,Outlet
West Gear,1128299,2021-01-25 00:00:00,25,1,2021,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,555000.0000000001,83250.00000000001,0.15,Outlet
West Gear,1128299,2021-01-26 00:00:00,26,1,2021,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.3,Outlet
West Gear,1128299,2021-01-27 00:00:00,27,1,2021,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,398750.00000000006,99687.5,0.2499999999999999,Outlet
West Gear,1128299,2021-01-28 00:00:00,28,1,2021,West,California,San Francisco,Men's Apparel,65.0,725,471250.0,212062.50000000003,0.45,Outlet
West Gear,1128299,2021-01-29 00:00:00,29,1,2021,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,1128299,2021-01-30 00:00:00,30,1,2021,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.3,Outlet
West Gear,1128299,2021-01-31 00:00:00,31,1,2021,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-01 00:00:00,1,2,2021,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,385000.00000000006,115500.00000000004,0.3,Outlet
West Gear,1128299,2021-02-02 00:00:00,2,2,2021,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,371250.00000000006,92812.5,0.2499999999999999,Outlet
West Gear,1128299,2021-02-03 00:00:00,3,2,2021,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45,Outlet
West Gear,1128299,2021-02-04 00:00:00,4,2,2021,West,California,San Francisco,Women's Apparel,70.0,700,490000.0,49000.0,0.1,Outlet
West Gear,1128299,2021-02-05 00:00:00,5,2,2021,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.3,Outlet
West Gear,1128299,2021-02-06 00:00:00,6,2,2021,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-07 00:00:00,7,2,2021,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,398750.00000000006,119625.00000000004,0.3,Outlet
West Gear,1128299,2021-02-08 00:00:00,8,2,2021,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,385000.00000000006,96250.0,0.2499999999999999,Outlet
West Gear,1128299,2021-02-09 00:00:00,9,2,2021,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45,Outlet
West Gear,1128299,2021-02-10 00:00:00,10,2,2021,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,1128299,2021-02-11 00:00:00,11,2,2021,West,California,San Francisco,Men's Street Footwear,55.00000000000001,975,536250.0000000001,160875.00000000006,0.3,Outlet
West Gear,1128299,2021-02-12 00:00:00,12,2,2021,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,975,585000.0000000001,87750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-13 00:00:00,13,2,2021,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.3,Outlet
West Gear,1128299,2021-02-14 00:00:00,14,2,2021,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,775,426250.00000000006,106562.5,0.2499999999999999,Outlet
West Gear,1128299,2021-02-15 00:00:00,15,2,2021,West,California,San Francisco,Men's Apparel,65.0,700,455000.0,204750.00000000003,0.45,Outlet
West Gear,1128299,2021-02-16 00:00:00,16,2,2021,West,California,San Francisco,Women's Apparel,70.0,800,560000.0,56000.0,0.1,Outlet
Kohl's,1189833,2021-02-17 00:00:00,17,2,2021,West,California,San Francisco,Men's Street Footwear,35.0,700,245000.0,98000.0,0.4,Outlet
Kohl's,1189833,2021-02-18 00:00:00,18,2,2021,West,California,San Francisco,Men's Athletic Footwear,45.0,700,315000.0,78750.0,0.25,Outlet
Kohl's,1189833,2021-03-09 00:00:00,9,3,2021,West,California,San Francisco,Women's Street Footwear,45.0,700,315000.0,126000.0,0.4,Outlet
Kohl's,1189833,2021-03-10 00:00:00,10,3,2021,West,California,San Francisco,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
Kohl's,1189833,2021-03-11 00:00:00,11,3,2021,West,California,Los Angeles,Men's Apparel,50.0,500,250000.0,137500.0,0.55,Outlet
Kohl's,1189833,2021-03-12 00:00:00,12,3,2021,West,California,Los Angeles,Women's Apparel,45.0,700,315000.0,63000.0,0.2,Outlet
Kohl's,1189833,2021-03-13 00:00:00,13,3,2021,West,California,Los Angeles,Men's Street Footwear,35.0,750,262500.0,105000.0,0.4,Outlet
Kohl's,1189833,2021-03-14 00:00:00,14,3,2021,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,1189833,2021-03-15 00:00:00,15,3,2021,West,California,Los Angeles,Women's Street Footwear,45.0,675,303750.0,121500.0,0.4,Outlet
Kohl's,1189833,2021-03-16 00:00:00,16,3,2021,West,California,Los Angeles,Women's Athletic Footwear,45.0,525,236250.0,82687.5,0.35,Outlet
Kohl's,1189833,2021-03-17 00:00:00,17,3,2021,West,California,Los Angeles,Men's Apparel,50.0,450,225000.0,123750.0,0.55,Outlet
Kohl's,1189833,2021-03-18 00:00:00,18,3,2021,West,California,Los Angeles,Women's Apparel,45.0,650,292500.0,58500.0,0.2,Outlet
